Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Nicole Meacham,31.0,Real Estate Agent,"Scottsdale, Arizona",,1.0,19
Reegan Cornwell,28.0,Cadaver Tissue Saleswoman,"Manhattan Beach, California",,1.0,19
Lauren Bushnell,25.0,Flight Attendant,"West Linn, Oregon",,,20
"Joelle ""JoJo"" Fletcher",24.0,Real Estate Developer,"Dallas, Texas",,10.0,20
Caila Quinn,24.0,Software Sales Representative,"Hudson, Ohio",,9.0,20
Amanda Stanton,25.0,Esthetician,"Rancho Santa Margarita, California",,8.0,20
Becca Tilley,26.0,Chiropractic Assistant,"Shreveport, Louisiana",,7.0,20
Emily Ferguson,23.0,Waitress,"Las Vegas, Nevada",,7.0,20
Lauren Himle,25.0,Kindergarten Teacher,"Dexter, Michigan",,6.0,20
Olivia Caridi,23.0,Former News Anchor,"Bristol, Virginia",,6.0,20
Leah Block,25.0,Event Planner,"Greenwood Village, Colorado",,6.0,20
Jennifer Saviano,25.0,Small Business Owner,"Lauderdale Lakes, Florida",,5.0,20
Jubilee Sharpe,24.0,War Veteran,"Fort Lauderdale, Florida",,5.0,20
Amber James,30.0,Bartender,"Kankakee, Illinois",,4.0,20
Rachel Tchen,23.0,Unemployed,"Little Rock, Arkansas",,4.0,20
Haley Ferguson,23.0,Waitress,"Las Vegas, Nevada",,4.0,20
Jami Letain,23.0,Bartender,"St. Albert, Alberta",,3.0,20
Shushanna Mkrtychyan,27.0,Mathematician,"Salt Lake City, Utah",,3.0,20
Lace Morris,25.0,Real Estate Agent,"Denver, Colorado",,3.0,20
"Amanda ""Mandi"" Kremer",28.0,Dentist,"Portland, Oregon",,2.0,20
"Jacqueline ""Jackie"" Dion",23.0,Gerontologist,"Newport Beach, California",,2.0,20
Samantha Passmore,26.0,Attorney,"New Smyrna Beach, Florida",,2.0,20
"Lauren ""LB"" Barr",23.0,Fashion Buyer,"Stillwater, Oklahoma",,2.0,20
Breanne Rice,30.0,Nutritional Therapist,"Seattle, Washington",,1.0,20
"Isabel ""Izzy"" Goodkind",24.0,Graphic Designer,"Branford, Connecticut",,1.0,20
Jessica Moser,23.0,Accountant,"Boca Raton, Florida",,1.0,20
Laura Esselman,24.0,Account Executive,"Louisville, Kentucky",,1.0,20
Lauren Russell,26.0,Math Teacher,"Houston, Texas",,1.0,20
Maegan Miller,30.0,Cowgirl,"Visalia, California",,1.0,20
Tiara Soleim,27.0,Chicken Enthusiast,"Redmond, Washington",,1.0,20
Alexis,23.0,Aspiring Dolphin Trainer,"Secaucus, NJ",66.0,5.0,21
Angela,26.0,Model,"Greenville, SC",67.0,1.0,21
Astrid,26.0,Plastic Surgery Office Manager,"Tampa, FL",67.5,4.0,21
Briana,28.0,Surgical Unit Nurse,"Salt Lake City, UT",64.0,1.0,21
Brittany,26.0,Travel Nurse,"Santa Monica, CA",62.0,3.0,21
Christen,25.0,Wedding Videographer,"Tulsa, OK",65.0,3.0,21
Corinne,24.0,Business Owner,"Miami, FL",61.0,8.0,21
Danielle L.,27.0,Small Business Owner,"Los Angeles, CA",65.0,6.0,21
Danielle M.,31.0,Neonatal Nurse,"Nashville, TN",70.0,7.0,21
Dominique,25.0,Restaurant Server,"Los Angeles, CA",64.0,3.0,21
Liz,29.0,Doula,"Las Vegas, NV",64.0,2.0,21
Elizabeth,24.0,Marketing Manager,"Dallas, TX",67.0,2.0,21
Hailey,23.0,Photographer,"Vancouver, British Columbia, Canada",67.0,2.0,21
Ida Marie,23.0,Sales Manager,"Harlingen, TX",68.0,1.0,21
Jaimi,28.0,Chef,"New Orleans, LA",62.0,5.0,21
Jasmine B.,25.0,Flight Attendant,"Tacoma, WA",62.5,1.0,21
Jasmine G.,29.0,Pro Basketball Dancer,"San Francisco, CA",67.0,6.0,21
Josephine,24.0,Registered Nurse,"Santa Cruz, CA",67.75,5.0,21
Kristina,24.0,Dental Hygienist,"Lexington, KY",62.0,7.0,21
Lacey,25.0,Digital Marketing Manager,"Manhattan, NY",63.0,2.0,21
Lauren,30.0,Law School Graduate,"Naples, FL",67.0,1.0,21
Michelle,24.0,Food Truck Owner,"Los Angeles, CA",61.0,1.0,21
Olivia,25.0,Apparel Sales Representative,"Anchorage, AK",67.0,1.0,21
Rachel,31.0,Attorney,"Dallas, TX",64.0,,21
Raven,25.0,Fashion Boutique Owner,"Hoxie, AR",66.0,,21
Sarah,26.0,Grade School Teacher,"Newport Beach, CA",65.0,4.0,21
Susannah,26.0,Account Manager,"San Diego, CA",66.0,1.0,21
Taylor,23.0,Mental Health Counselor,"Seattle, WA",64.0,5.0,21
Vanessa,29.0,Special Education Teacher,"Montreal, Quebec, Canada",63.5,,21
Whitney,25.0,Pilates Instructor,"Chanhassen, MN",68.0,6.0,21
